n,domain,https,http,fallback
1,auras.guide,,200,
2,helloaura.world,525,200,CF_HTTPS_525_HTTP_PROBE
3,withaura.world,,200,
4,aurahere.world,,530,
5,aurahello.com,,200,
6,talktoaura.world,,530,
7,arksolutions.world,,530,
8,arksystems.us,,522,
9,exist.world,,200,
10,aistatus.world,525,200,CF_HTTPS_525_HTTP_PROBE
11,veritynewsroom.com,,530,
12,talkgenesis.com,,530,
13,frontdesk.network,525,200,CF_HTTPS_525_HTTP_PROBE
14,firstcontact.systems,,530,
15,needhelp.solutions,,530,
16,permissiontoapproach.com,,530,
17,mypta.world,,200,
18,findwork.world,,200,
19,malibu.city,,200,
20,cityguide.world,,200,
21,cityos.us,,530,
22,makemoremoney.world,,200,
23,makemoremoney.business,,530,
24,myidea.world,,200,
25,ideaslab.world,,530,
26,worldguide.world,525,200,CF_HTTPS_525_HTTP_PROBE
27,worlddiscover.world,,200,
28,worldnavigate.world,525,200,CF_HTTPS_525_HTTP_PROBE
29,nextstop.world,,200,
30,placebet.world,,200,
31,timetocreate.world,,200,
32,timetocreate.kids,525,200,CF_HTTPS_525_HTTP_PROBE
33,timetolearn.kids,,200,
34,timethelp.world,,530,
35,hollywood.tools,,522,
36,theperfectrepairs.com,,530,
37,operator-test-domain-002.example,,530,
38,operator-put-domain-001.example,,530,
39,operator-put-domain-002.example,,530,
40,operator-sanity.local,,530,
